,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
791,792,NCT03887676,Arbaclofen vs. Placebo in the Treatment of Children and Adolescents With ASD (ARBA),ARBA,Recruiting,No Results Available,Autism Spectrum Disorder,Drug: Arbaclofen|Other: Placebo,"Vineland Adaptive Behavior Scales, Third Edition (Vineland-3) - Social Domain|Clinical Global Impressions - Impression Scale - Improvement (CGI-I)|Aberrant Behavior Checklist (ABC) - Social Withdrawal Subscale|Vineland Adaptive Behavior Scales, Third Edition (Vineland-3) - Communication Domain|Safety Monitoring Uniform Report Form (SMURF)|Clinical Global Impressions - Impression Scale - Global (CGI-I-Global)|Epworth Sleepiness Scale for Children and Adolescents (ESS-CHAD)|Suicidality assessment using the Columbia-Suicide Severity Rating Scale (C-SSRS)","Evdokia Anagnostou|Holland Bloorview Kids Rehabilitation Hospital|McMaster University|University of Western Ontario, Canada|Queen's University|Unity Health Toronto|University of Toronto|Anagnostou, Evdokia, M.D.",All,5 Years to 17 Years   (Child),Phase 2,90.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",ARB-05-2018,2019-03-18,2022-05-15,2022-05-15,2019-03-25,,2021-08-13,"McMaster University, Offord Centre for Child Studies, Hamilton, Ontario, Canada|Queen's Universtiy, Kingston, Ontario, Canada|University of Western Ontario, Lawson Health Research Institute, London, Ontario, Canada|Holland Bloorview Kids Rehabilitation Hospital, Toronto, Ontario, Canada",,https://ClinicalTrials.gov/show/NCT03887676
793,794,NCT01337700,Milnacipran in Autism and the Functional Locus Coeruleus and Noradrenergic Model of Autism,,Completed,Has Results,Autism Spectrum Disorder|Asperger Syndrome|Aspergers Syndrome,Drug: Milnacipran|Drug: Placebo,Change in Score on Conners Adults Attention Deficit Hyperactivity Disorder (ADHD) Rating Scale|Change in Hyperactivity as Measured by Aberrant Behavior Checklist - Hyperactivity Scale|Change in Autism Severity Levels Based on the Clinical Global Impressions Scale|Change in Repetitive Behaviors Using YBOCS-Compulsion and Rigidity Subscale|Change in Diagnostic Analysis of Nonverbal Activity-2 ADULT FACIAL EXPRESSIONS: (DANVA2-AF),Montefiore Medical Center|Forest Laboratories,All,18 Years to 50 Years   (Adult),Phase 4,10.0,Other|Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",10-09-299,2011-02-01,2014-07-01,2014-07-01,2011-04-19,2020-02-27,2020-02-27,"Montefiore Medical Center, Albert Einstein College of Medicine, Bronx, New York, United States",,https://ClinicalTrials.gov/show/NCT01337700
797,798,NCT00773812,Placebo-Controlled Pilot Trial of Mecamylamine for Treatment of Autism Spectrum Disorders,,Completed,No Results Available,Autistic Disorder|Pervasive Developmental Disorder,Drug: mecamylamine|Drug: placebo,"The primary measure will be a global composite derived by calculating the z scores on each measure other than CGI from published norms (or from the baseline descriptives, then averaging the z scores of the various outcome measures for each individual.|OSU Autism Rating Scale-DSM-IV|Repetitive Behavior Questionnaire|Aberrant Behavior Checklist|Ohio Autism Clinical Impressions Scale|Social Responsiveness Scale|Expressive Vocabulary test-Second Edition|Adverse Experience checklist and AE log|Cognitive Battery",Ohio State University|Autism Speaks,All,4 Years to 12 Years   (Child),Phase 1,20.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",2007H0096,2007-07-01,2012-11-01,2012-11-01,2008-10-16,,2017-01-13,"Nisonger Center, Columbus, Ohio, United States",,https://ClinicalTrials.gov/show/NCT00773812
798,799,NCT01078844,Memantine in Adult Autism Spectrum Disorder,,Terminated,Has Results,Autism|Asperger's Disorder|Pervasive Developmental Disorder NOS,Drug: memantine|Drug: Placebo,Clinical Global Impression-Scale(CGI-S),Johns Hopkins University|Forest Laboratories,All,"18 Years to 85 Years   (Adult, Older Adult)",Not Applicable,4.0,Other|Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",NA_00015760,2010-02-01,2010-07-01,2010-07-01,2010-03-02,2017-07-26,2017-07-26,"Johns Hopkins Bayview, Baltimore, Maryland, United States",,https://ClinicalTrials.gov/show/NCT01078844
801,802,NCT00308074,An Open-Label Trial of Aripiprazole in Autism Spectrum Disorders,,Completed,Has Results,Autism|Asperger's Disorder|Pervasive Developmental Disorder,Drug: Aripiprazole,Clinical Global Impressions-Improvement|Aberrant Behavior Checklist-Irritability Subscale|Yale-Brown Obsessive Compulsive Scale (Y-BOCS)|Brief Psychiatric Rating Scale for Children (BPRS-C),Cambridge Health Alliance|Bristol-Myers Squibb,All,6 Years to 17 Years   (Child),Phase 2,14.0,Other|Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CHA-IRB-0119/06/05,2006-02-01,2008-12-01,2009-02-01,2006-03-29,2017-01-02,2017-02-15,"Cambridge Health Alliance, Medford, Massachusetts, United States",,https://ClinicalTrials.gov/show/NCT00308074
805,806,NCT04007224,Umbilical Cord Blood vs Personalized Treatments for Improving Autistic Disorder,,Recruiting,No Results Available,Autistic Spectrum Disorder,Drug: Intranasal oxytocin|Biological: Autologous umbilical cord blood,"Improvement in behaviour, interaction with family and peers|Improvement in behavior and social interaction|Improvement in overall functioning of the child",Fundatia Bio-Forum|Spitalul Angiomedica,All,3 Years to 7 Years   (Child),Phase 1,20.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CORDUS,2019-01-17,2021-11-30,2021-12-30,2019-07-05,,2021-06-24,"Spitalul Angiomedica, Bucharest, Bucuresti, Romania|Medicover Hospital, Bucharest, Romania|Ponderas Academic Hospital, Bucharest, Romania","""Study Protocol, Statistical Analysis Plan, and Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/24/NCT04007224/Prot_SAP_ICF_001.pdf",https://ClinicalTrials.gov/show/NCT04007224
807,808,NCT01624675,A Study to Evaluate the Efficacy and Safety of Risperidone (R064766) in Children and Adolescents With Irritability Associated With Autistic Disorder,,Completed,No Results Available,Autistic Disorder in Children and Adolescents,Drug: Risperidone|Drug: Placebo,The change from baseline in the Aberrant Behavior Checklist-Japanese Version (ABC-J) Irritability Subscale scores|The changes from baseline in the subscale scores of Aberrant Behavior Checklist-Japanese Version (ABC-J) at each evaluation of the double-blind phase|The changes from baseline in the subscale scores of Aberrant Behavior Checklist-Japanese Version (ABC-J) at each evaluation of the open-label phase|The changes from baseline in scores of the Clinical Global Impression - Severity (CGI-S) at each evaluation time point of the double-blind phase|The changes from baseline in scores of the Clinical Global Impression - Severity (CGI-S) at each evaluation time point of the open-label-phase|The changes from baseline in scores of the Children's Global Assessment Scale (C-GAS) at each evaluation time point of the double-blind phase and open-label-phase|The changes from baseline in scores of the Children's Global Assessment Scale (C-GAS) at each evaluation time point of open-label-phase|The Clinical Global Impression-Change (CGI-C) at each evaluation time point of the double-blind phase|The Clinical Global Impression-Change (CGI-C) at each evaluation time point of the open label-phase|The Parent Satisfaction Questionnaire (PSQ) at each evaluation time point of the double-blind phase|The Parent Satisfaction Questionnaire (PSQ) at each evaluation time point of the open label-phase,Janssen Pharmaceutical K.K.,All,5 Years to 17 Years   (Child),Phase 3,39.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",CR100877|RIS-AUT-JPN-01,2012-09-01,2014-10-01,2014-10-01,2012-06-21,,2015-10-15,"Fuchu, Japan|Fukui, Japan|Hirakata, Japan|Ichikawa, Japan|Kanzaki, Japan|Kobe, Japan|Kodaira, Japan|Kurashiki, Japan|Neyagawa, Japan|Okayama, Japan|Sakai, Japan|Shimotsuke, Japan|Tokyo, Japan|Toyama, Japan|Tsuyama, Japan|Tsu, Japan|Yokohama, Japan",,https://ClinicalTrials.gov/show/NCT01624675
819,820,NCT00376194,Mercury Chelation to Treat Autism,,Withdrawn,No Results Available,"Autism|Asperger's Disorder|Child Development Disorders, Pervasive",Drug: DMSA,"Improvement in social reciprocity.|Improvement in language skills, decrease in blood mercury levels.",National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC),All,4 Years to 10 Years   (Child),Phase 2,0.0,NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment,060238|06-M-0238,2006-09-01,,2007-03-01,2006-09-14,,2013-09-18,"National Institute of Mental Health (NIMH), 9000 Rockville Pike, Bethesda, Maryland, United States",,https://ClinicalTrials.gov/show/NCT00376194
824,825,NCT03900923,Cannabidiol for ASD Open Trial,,Recruiting,No Results Available,ASD|Autism Spectrum Disorder,Drug: 98% pure CBD,"Clinical Global Impression Scale -Improvement (CGI-I)|Repetitive Behavior Scale-Revised (RBS-R)|Social Responsiveness Scale, 2nd Edition (SRS-2), School-Age Form|Aberrant Behavior Checklist (ABC) - Irritability and Social Withdrawal Subscales|Anxiety, Depression and Mood Scale (ADAMS)|Screen for Child Anxiety Related Disorders (SCARED), Parent Version|Sleep Disturbance Scale for Children (SDSC)|Vineland Adaptive Behavior Scales, Third Edition (Vineland-3) Parent/Caregiver Form|Clinical Global Impression-Severity (CGI-S):|Autism Family Experience Questionnaire (AFEQ)|Anxiety Scale for Children - Autism Spectrum Disorder - Parent Versions (ASC-ASD-P)|Anxiety Scale for Children - Autism Spectrum Disorder (ASC-ASD-C) - Child Versions|OSU Autism Clinical Global Impressions: Severity|OSU Autism Clinical Global Impressions: Improvement|Behavioral Inflexibility Scale (BIS)|Home Situations Questionnaire - Modified for ASD (HSQ-ASD)|16. Strengths and Weaknesses of Attention-Deficit/Hyperactivity Disorder Symptoms and Normal Behavior (SWAN)",NYU Langone Health,All,7 Years to 17 Years   (Child),Phase 2,30.0,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,18-00250,2019-03-12,2022-12-31,2022-12-31,2019-04-03,,2021-09-27,"NYU Langone Health, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT03900923
826,827,NCT02199925,An Open-Label Study to Evaluate the Efficacy of High-Dose Gammaplex in Children on the Autism Spectrum,,Unknown status,No Results Available,Autism|Autistic Disorder|Asperger's Disorder|PDD|Pervasive Developmental Disorder,Drug: Gammaplex 5%,The primary objective is to assess the efficacy of Gammaplex as an immunomodulatory therapy in autistic children with evidence of immune dysfunction.|The modulatory effect of IVIG on neuroinflammation will be assessed by laboratory measurements which we believe are indicative of immune dysregulation.,Isaac Melamed|Bio Products Laboratory|IMMUNOe Research Centers,All,4 Years to 12 Years   (Child),Phase 4,30.0,Industry|Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,GMXAUT01,2013-06-01,2015-04-01,2015-07-01,2014-07-25,,2015-04-16,"IMMUNOe International Research Centers, Centennial, Colorado, United States",,https://ClinicalTrials.gov/show/NCT02199925
828,829,NCT04768816,Clinical Effect and Safety of Autologous Umbilical Cord Blood Transfusion in the Treatment of Autism Spectrum Disorder,,Recruiting,No Results Available,Safety Issues;Effect of Drugs,Drug: 0.9% Sodium Chloride|Biological: Autologous Umbilical Cord Blood,ABC|CARS,Guangdong Women and Children Hospital,All,"2 Years and older   (Child, Adult, Older Adult)",Phase 1,25.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,GuangdongWCHASD,2019-07-01,2022-12-31,2024-12-31,2021-02-24,,2021-02-24,"Guangdong Women and Children's Hospital and Health Institute, Guangzhou, Guangdong, China",,https://ClinicalTrials.gov/show/NCT04768816
829,830,NCT04903353,Pragmatic Trial Comparing Weight Gain in Children With Autism Taking Risperidone Versus Aripiprazole,,Recruiting,No Results Available,Weight Gain|Autism Spectrum Disorder|Medication Side Effect,Drug: Comparison of Risperidone and Aripiprazole,weight gain,Vanderbilt University Medical Center,All,up to 17 Years   (Child),Phase 4,350.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other,210757,2021-11-01,2024-07-01,2025-07-01,2021-05-26,,2021-09-21,"Division of Developmental Medicine, Nashville, Tennessee, United States",,https://ClinicalTrials.gov/show/NCT04903353
837,838,NCT04930471,Steroid and Behaviour Changes Under Metformin,,Not yet recruiting,No Results Available,Autistic Disorder,Drug: Metformin,"Changes in GC-MS measured urinary androgen metabolite levels.|Changes in GC-MS measured urinary oestrogen metabolite levels.|Changes in GC-MS measured urinary progesterone metabolite levels.|Changes in GC-MS measured urinary aldosterone metabolite levels.|Changes in GC-MS measured urinary corticosterone metabolite levels.|Changes in GC-MS measured urinary cortisone metabolite levels.|Changes in GC-MS measured urinary cortisol metabolite levels.|Behavioral Changes|Correlation between urinary steroid hormone level changes (metabolites of androgen, oestrogen, progesterone, aldosterone, corticosterone, cortisone and cortisol) and behavioral changes measured with pearson correlation coefficient.","University Hospital Inselspital, Berne|Lindenhofstiftung",All,"18 Years and older   (Adult, Older Adult)",,45.0,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,Steroid Changes Metformin,2021-06-01,2023-08-01,2023-12-01,2021-06-18,,2021-06-18,"Lindenhofgruppe, Berne, Switzerland",,https://ClinicalTrials.gov/show/NCT04930471
844,845,NCT02383758,An Interdisciplinary Approach to the Treatment of Encopresis in Children With Autism Spectrum Disorders,,Completed,Has Results,Encopresis|Autistic Disorder,Drug: Glycerin Suppository|Drug: Bisacodyl suppository|Drug: Senna,Percent Continent|Percent Independence|Mean Clinical Global Impression for Severity (CGI-S) Score|Mean Clinical Global Impression for Improvement (CGI-I) Score,Emory University|Organization for Autism Research,All,"5 Years to 21 Years   (Child, Adult)",Not Applicable,22.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,IRB00076608,2015-02-01,2017-01-01,2017-01-01,2015-03-09,2018-01-11,2018-07-02,"Marcus Autism Center, Atlanta, Georgia, United States",,https://ClinicalTrials.gov/show/NCT02383758
849,850,NCT01352611,Open Label Treatment of Severe Tactile Defensiveness With Intrathecal Baclofen,,Withdrawn,No Results Available,Autism Spectrum Disorder,"Drug: baclofen, intrathecal",Modified Short Sensory Profile.|Clinical Global Impression of Change in Autism Symptoms,University of Missouri-Columbia,All,"10 Years to 65 Years   (Child, Adult, Older Adult)",Not Applicable,0.0,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,1109397,2014-09-01,2015-04-01,2015-04-01,2011-05-12,,2016-10-06,"University Hospital/University of Missouri Health Care, Columbia, Missouri, United States",,https://ClinicalTrials.gov/show/NCT01352611
