"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
516,"NCT04909658","The Effect of Acceptance and Commitment Therapy","ASDMatrix","Completed","No Results Available","Autism, Infantile","Behavioral: ACT Matrix|Behavioral: PT Protocol","Acceptance and Action Questionnaire (AAQ-II)|Home Situation Questionnaire (HSQ-ASD)|Valued Living Questionnaire (VLQ)|Mindful Attention Awareness Scale (MAAS)|Parental Stress Index/Short Form (PSI/SF)","S.Anna Rehabilitation Institute|Istituto per la Ricerca e l'Innovazione Biomedica","All","3 Years to 13 Years   (Child)","Not Applicable","66","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Supportive Care","CNR-AMMCEN 54444/2018","January 7, 2018","December 30, 2019","December 30, 2020","June 2, 2021",,"June 2, 2021","Institute for Biomedical Research and Innovation (IRIB), Messina, Italy",,"https://ClinicalTrials.gov/show/NCT04909658"
517,"NCT02712853","Improving Autism Screening With Brain-Related miRNA",,"Completed","No Results Available","Autism Spectrum Disorder|Developmental Delay","Other: Saliva collection|Other: Vineland Adaptive Behavior Scale-II Assessment","salivary miRNA profile|Measures of adaptive function|Measure of autistic behavior","Milton S. Hershey Medical Center","All","18 Months to 6 Years   (Child)",,"304","Other","Observational","Observational Model: Case-Control|Time Perspective: Cross-Sectional","Study00003658","November 2015","August 2018","August 2018","March 18, 2016",,"August 22, 2018","Penn State Milton S. Hershey Medical Center, Hershey, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT02712853"
518,"NCT04293627","Access to Tailored Autism Integrated Care Pilot Study","ATTAIN","Active, not recruiting","No Results Available","Autism Spectrum Disorder|Mental Health Issue","Behavioral: ATTAIN","Feasibility and acceptability of ATTAIN|Acceptability of Intervention Measure|Feasibility of Intervention Measure|ASD + Mental Health Comfort and Knowledge Questionnaire|Measure of Innovation-Specific Implementation Intentions (MISII)|ATTAIN Uptake|Caregiver Perceptions of ATTAIN","University of California, San Diego|Kaiser Permanente|San Ysidro Health Center|Rady Children's Hospital, San Diego","All","4 Years to 16 Years   (Child)",,"45","Other","Observational","Observational Model: Ecologic or Community|Time Perspective: Prospective","UC San Diego","November 13, 2019","August 31, 2021","March 30, 2022","March 3, 2020",,"August 9, 2021","University of California, San Diego, La Jolla, California, United States","""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/27/NCT04293627/ICF_000.pdf","https://ClinicalTrials.gov/show/NCT04293627"
519,"NCT02947880","Evaluation of the Efficiency of Treatment by BUMETANIDE on Autistic Children With a Known Ethiology","BUMAUTEP","Withdrawn","No Results Available","Autistic Disorder","Drug: Bumetanide|Drug: Placebo","Change (evolution) between day 0 and day 99 of the result of the scale CARS (Childhood Autism Rating Scale).|CARS (Childhood Autism Rating Scale) between D0 and D99 and between D99 and D190 which will be describe by etiology","University Hospital, Limoges","All","5 Years to 17 Years   (Child)","Phase 2","0","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","I14039","December 2016","December 2019","June 2020","October 28, 2016",,"June 2, 2021",,,"https://ClinicalTrials.gov/show/NCT02947880"
520,"NCT01813318","Study of Acamprosate in Autism",,"Completed","No Results Available","Autistic Disorder","Drug: Acamprosate|Drug: Placebo","Change from baseline to week 10 on the Social WIthdrawal subscale of ABC|Change Clinical Global Impression- Improvement|Change in ABC subscales: Irritability, Stereotypy, Hyperactivity, and Inappropriate Speech from baseline to week 10","Children's Hospital Medical Center, Cincinnati|Autism Speaks","All","5 Years to 17 Years   (Child)","Phase 1","36","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Basic Science","CIN001-Acamprosate in Autism","July 2, 2013","September 7, 2017","September 7, 2017","March 18, 2013",,"February 3, 2021","Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT01813318"
521,"NCT00382382","Diffusion Tensor Imaging in Autism",,"Withdrawn","No Results Available","Autistic Disorder","Other: diffusion tensor imaging (DTI)","RBS-R scores, including both total and subset scores","University of Florida","Male","8 Years to 12 Years   (Child)","Not Applicable","0","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","1R03HD051656","July 2008","July 2009","July 2009","September 29, 2006",,"March 13, 2015","McKnight Brain Institute of the University of Florida, Gainesville, Florida, United States",,"https://ClinicalTrials.gov/show/NCT00382382"
522,"NCT01005953","Comprehensive Collection, Charting, and Communication System","CCCCSys","Unknown status","No Results Available","Autism",,,"SymTrend Inc.|University of Washington|National Institute of Mental Health (NIMH)","All","22 Years to 70 Years   (Adult, Older Adult)",,"70","Industry|Other|NIH","Observational","Observational Model: Case-Only|Time Perspective: Prospective","1R41MH086153-01","October 2009","August 2011","August 2011","November 1, 2009",,"June 7, 2011","SymTrend, Belmont, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT01005953"
523,"NCT00409747","Minocycline to Treat Childhood Regressive Autism",,"Completed","Has Results","Autism|Minocycline|Regressive Autism","Drug: Minocycline","z Score|Clinical Global Impressions Scale-Severity (CGI). (Connors & Barkley, 1985)","National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)","All","3 Years to 12 Years   (Child)","Phase 4","11","NIH","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","070024|07-M-0024","November 2006","June 2010","April 2011","December 11, 2006","December 11, 2015","December 11, 2015","Childrens National Medical Center, Washington, District of Columbia, United States|National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT00409747"
524,"NCT04382885","Cariprazine Pediatric ASD PK Study",,"Recruiting","No Results Available","Autism Spectrum Disorder","Drug: Cariprazine","Incidence of Adverse Events (AEs)|Incidence of Serious Adverse Events (SAEs)|Incidence of AEs leading to discontinuation|Percentage of participants with potentially clinically significant values in clinical laboratory assessments|Percentage of participants with potentially clinically significant values in vital signs assessments|Percentage of participants with potentially clinically significant values in ECG assessments|Percentage of participants who have suicidal ideation or suicidal behaviors in C-SSRS assessments|Percentage of participants with treatment-emergent parkinsonism in SAS assessments|Percentage of participants with treatment-emergent akathisia in BARS assessments|Percentage of participants with potentially clinically significant values in ocular examination parameters|Pharmacokinetics: Maximum plasma concentrations (Cmax) of cariprazine and its metabolites DCAR and DDCAR on Days 1 and 42|Pharmacokinetics: Time of maximum plasma concentrations (Tmax) of cariprazine and its metabolites DCAR and DDCAR on Days 1 and 42|Pharmacokinetics: Area under the plasma concentration-time curve during the dosing interval (AUC0-tau) of cariprazine and its metabolites DCAR and DDCAR on Days 1 and 42|Pharmacokinetics: Terminal elimination half-life (T1/2) of cariprazine and its metabolites DCAR and DDCAR|Pharmacokinetics: Minimum plasma concentrations (Cmin) during the dosing interval of cariprazine and its metabolites DCAR and DDCAR on Day 42|Pharmacokinetics: Average plasma concentrations (Cavg) during the dosing interval of cariprazine and its metabolites DCAR and DDCAR on Day 42|Pharmacokinetics: Apparent total clearance of cariprazine from plasma (CL/F) on Day 42|Pharmacokinetics: Volume of distribution during the terminal elimination phase (Vz/F) of cariprazine","Allergan","All","5 Years to 17 Years   (Child)","Phase 1","24","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2000-103-009","June 26, 2020","September 30, 2021","September 30, 2021","May 11, 2020",,"July 29, 2021","Neuropsychiatric Research Center of Orange County /ID# 233663, Orange, California, United States|Atlanta Center for Medical Research /ID# 233576, Atlanta, Georgia, United States|iResearch Atlanta, LLC /ID# 233614, Decatur, Georgia, United States",,"https://ClinicalTrials.gov/show/NCT04382885"
525,"NCT00695136","The Effect of Donepezil (Aricept(Registered Trademark)) on REM Sleep in Children With Autism",,"Completed","Has Results","Autism|Cognition Disorder","Drug: Donepezil hydrochloride|Behavioral: Increase REM sleep percentage","Change in Percentage of Time That Subjects With Autism Spend in REM Sleep.","National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)","All","2 Years to 10 Years   (Child)","Phase 1|Phase 2","17","NIH","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)","080154|08-M-0154","June 2008","January 2011","January 2011","June 11, 2008","April 24, 2013","April 24, 2013","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT00695136"
526,"NCT02184390","Parenting Your Young Child With Autism: A Web-Based Tutorial",,"Completed","No Results Available","Autistic Disorder","Other: On LIne Parent Training Tutorial","System Usability Scale|Autism Knowledge Test","Center for Psychological Consultation|National Institute of Mental Health (NIMH)","All","18 Months to 6 Years   (Child)","Not Applicable","104","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","5R44MH086936","May 2013","May 2015","September 2015","July 9, 2014",,"February 3, 2016","Center for Psychological Consulation, Madison, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT02184390"
527,"NCT02275455","Design Of WELL Being Monitoring Systems, Application in Autism","Do Well B","Unknown status","No Results Available","Autistic Disorder","Behavioral: real life situations","Heart Rate Variability from holter electrocardiogram|Heart Rate Variability from the heart rate transmitter belt","University Hospital, Clermont-Ferrand","All","12 Years to 25 Years   (Child, Adult)","Not Applicable","60","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Prevention","CHU-0213|2014-A00611-46","October 2014","December 2016","December 2018","October 27, 2014",,"July 26, 2016","University Hospital of Clermont-Ferrand (CHU), France, Clermont-Ferrand, France",,"https://ClinicalTrials.gov/show/NCT02275455"
528,"NCT01258465","Research in Autism: Parent Intervention",,"Completed","No Results Available","Autistic Disorder","Behavioral: Pivotal Response Training|Behavioral: Picture Exchange Communication System","Mullen Scales of Early Learning|Vineland Adaptive Behavior Scales","University of California, San Diego","All","24 Months to 47 Months   (Child)","Not Applicable","39","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MH39434","January 2005","December 2009","December 2009","December 13, 2010",,"December 13, 2010","University of California, San Diego Psychology Department, La Jolla, California, United States|University of California, Santa Barbara, School of Education, Department of Clinical, Counseling, and School Psychology, Santa Barbara, California, United States",,"https://ClinicalTrials.gov/show/NCT01258465"
529,"NCT02004236","Transcranial Random Noise Stimulation (tRNS) Over Fronto-temporal Cortex Improves Verbal Fluency and Empathy in Autism Children","tRNS25112013","Completed","Has Results","Autism|ASD","Device: tRNS Fronto-temporal cortex|Device: tRNS over fusiform temporal cortex|Device: tRNS with sham","Verbal Fluency|Sociability|Ratio Theta/Beta Before tRNS|Theta Amplitude in T5 Before tRNS|Ratio Theta/Beta After tRNS|Theta Amplitude in T5 After tRNS|Reaction Time in ECPT Before tRNS|Omission Errors Before tRNS|Commission Errors Before tRNS|P3b Wave Amplitude Before tRNS|Reaction Time After tRNS|Ommision Errors After tRNS|Commission Errors After tRNS|P3b Wave Amplitude After tRNS","Spanish Foundation for Neurometrics Development","All","5 Years to 12 Years   (Child)","Not Applicable","225","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","Autism and tRNS","January 2014","August 2014","September 2014","December 9, 2013","October 16, 2014","May 4, 2021","General Elche Hospital, Elche, Alicante, Spain",,"https://ClinicalTrials.gov/show/NCT02004236"
